# x	gauss_k
0	30
0.01	29.7227
0.02	29.4457
0.03	29.1691
0.04	28.893
0.05	28.6175
0.06	28.3427
0.07	28.0688
0.08	27.796
0.09	27.5242
0.1	27.2537
0.11	26.9845
0.12	26.7167
0.13	26.4506
0.14	26.1862
0.15	25.9235
0.16	25.6628
0.17	25.4041
0.18	25.1476
0.19	24.8932
0.2	24.6412
0.21	24.3917
0.22	24.1446
0.23	23.9002
0.24	23.6585
0.25	23.4196
0.26	23.1836
0.27	22.9505
0.28	22.7205
0.29	22.4936
0.3	22.2699
0.31	22.0495
0.32	21.8324
0.33	21.6187
0.34	21.4084
0.35	21.2016
0.36	20.9985
0.37	20.7989
0.38	20.6029
0.39	20.4107
0.4	20.2222
0.41	20.0375
0.42	19.8565
0.43	19.6794
0.44	19.5062
0.45	19.3368
0.46	19.1712
0.47	19.0096
0.48	18.8519
0.49	18.6981
0.5	18.5481
0.51	18.4021
0.52	18.26
0.53	18.1217
0.54	17.9874
0.55	17.8568
0.56	17.7301
0.57	17.6072
0.58	17.488
0.59	17.3725
0.6	17.2608
0.61	17.1527
0.62	17.0482
0.63	16.9473
0.64	16.8498
0.65	16.7558
0.66	16.6652
0.67	16.578
0.68	16.494
0.69	16.4131
0.7	16.3354
0.71	16.2608
0.72	16.1891
0.73	16.1203
0.74	16.0544
0.75	15.9911
0.76	15.9305
0.77	15.8724
0.78	15.8167
0.79	15.7635
0.8	15.7124
0.81	15.6636
0.82	15.6167
0.83	15.5719
0.84	15.5289
0.85	15.4876
0.86	15.4479
0.87	15.4098
0.88	15.3731
0.89	15.3376
0.9	15.3034
0.91	15.2702
0.92	15.2379
0.93	15.2065
0.94	15.1758
0.95	15.1457
0.96	15.1161
0.97	15.0868
0.98	15.0578
0.99	15.0289
1	15
