# x	gauss_k
0	30
0.01	29.661
0.02	29.3224
0.03	28.9844
0.04	28.6471
0.05	28.3107
0.06	27.9755
0.07	27.6415
0.08	27.3091
0.09	26.9783
0.1	26.6493
0.11	26.3224
0.12	25.9976
0.13	25.6752
0.14	25.3554
0.15	25.0382
0.16	24.7239
0.17	24.4126
0.18	24.1045
0.19	23.7997
0.2	23.4984
0.21	23.2007
0.22	22.9067
0.23	22.6167
0.24	22.3307
0.25	22.0489
0.26	21.7714
0.27	21.4982
0.28	21.2297
0.29	20.9657
0.3	20.7065
0.31	20.4522
0.32	20.2028
0.33	19.9585
0.34	19.7193
0.35	19.4853
0.36	19.2566
0.37	19.0333
0.38	18.8154
0.39	18.603
0.4	18.3961
0.41	18.1949
0.42	17.9992
0.43	17.8093
0.44	17.625
0.45	17.4465
0.46	17.2738
0.47	17.1068
0.48	16.9456
0.49	16.7902
0.5	16.6406
0.51	16.4968
0.52	16.3587
0.53	16.2264
0.54	16.0998
0.55	15.9789
0.56	15.8636
0.57	15.754
0.58	15.65
0.59	15.5514
0.6	15.4584
0.61	15.3707
0.62	15.2883
0.63	15.2113
0.64	15.1394
0.65	15.0726
0.66	15.0108
0.67	14.9539
0.68	14.9019
0.69	14.8545
0.7	14.8118
0.71	14.7736
0.72	14.7398
0.73	14.7102
0.74	14.6848
0.75	14.6634
0.76	14.6459
0.77	14.6322
0.78	14.622
0.79	14.6154
0.8	14.612
0.81	14.6119
0.82	14.6148
0.83	14.6205
0.84	14.629
0.85	14.6401
0.86	14.6535
0.87	14.6692
0.88	14.687
0.89	14.7067
0.9	14.7281
0.91	14.7511
0.92	14.7754
0.93	14.801
0.94	14.8277
0.95	14.8553
0.96	14.8835
0.97	14.9123
0.98	14.9414
0.99	14.9707
1	15
