# x	jacobi_kp1
0	30
0.01	29.5087
0.02	29.0174
0.03	28.5276
0.04	28.0377
0.05	27.5507
0.06	27.0637
0.07	26.5809
0.08	26.0981
0.09	25.6209
0.1	25.1437
0.11	24.6734
0.12	24.2032
0.13	23.7413
0.14	23.2793
0.15	22.8269
0.16	22.3745
0.17	21.9329
0.18	21.4913
0.19	21.0617
0.2	20.6321
0.21	20.2155
0.22	19.799
0.23	19.3967
0.24	18.9943
0.25	18.6071
0.26	18.2199
0.27	17.8489
0.28	17.4778
0.29	17.1237
0.3	16.7696
0.31	16.4332
0.32	16.0969
0.33	15.779
0.34	15.4611
0.35	15.1623
0.36	14.8634
0.37	14.5843
0.38	14.3051
0.39	14.046
0.4	13.7869
0.41	13.5482
0.42	13.3096
0.43	13.0917
0.44	12.8738
0.45	12.6769
0.46	12.48
0.47	12.3041
0.48	12.1282
0.49	11.9735
0.5	11.8187
0.51	11.685
0.52	11.5513
0.53	11.4386
0.54	11.3258
0.55	11.2337
0.56	11.1417
0.57	11.07
0.58	10.9984
0.59	10.9468
0.6	10.8952
0.61	10.8632
0.62	10.8312
0.63	10.8183
0.64	10.8054
0.65	10.811
0.66	10.8167
0.67	10.8401
0.68	10.8636
0.69	10.9042
0.7	10.9448
0.71	11.0018
0.72	11.0588
0.73	11.1313
0.74	11.2038
0.75	11.291
0.76	11.3782
0.77	11.4791
0.78	11.58
0.79	11.6937
0.8	11.8073
0.81	11.9327
0.82	12.058
0.83	12.1941
0.84	12.3301
0.85	12.4757
0.86	12.6213
0.87	12.7753
0.88	12.9294
0.89	13.0907
0.9	13.252
0.91	13.4194
0.92	13.5868
0.93	13.7592
0.94	13.9315
0.95	14.1075
0.96	14.2835
0.97	14.462
0.98	14.6405
0.99	14.8203
1	15
