# x	jacobi_kp1
0	30
0.01	29.4502
0.02	28.9012
0.03	28.3523
0.04	27.8059
0.05	27.2595
0.06	26.7174
0.07	26.1752
0.08	25.6391
0.09	25.1029
0.1	24.5743
0.11	24.0457
0.12	23.5263
0.13	23.0069
0.14	22.4982
0.15	21.9895
0.16	21.4931
0.17	20.9967
0.18	20.5139
0.19	20.0312
0.2	19.5635
0.21	19.0957
0.22	18.6444
0.23	18.193
0.24	17.7591
0.25	17.3252
0.26	16.91
0.27	16.4948
0.28	16.0993
0.29	15.7038
0.3	15.3288
0.31	14.9539
0.32	14.6005
0.33	14.247
0.34	13.9157
0.35	13.5844
0.36	13.2759
0.37	12.9674
0.38	12.6823
0.39	12.3972
0.4	12.1358
0.41	11.8745
0.42	11.6372
0.43	11.4
0.44	11.1871
0.45	10.9741
0.46	10.7857
0.47	10.5972
0.48	10.4333
0.49	10.2693
0.5	10.1297
0.51	9.99017
0.52	9.87486
0.53	9.75956
0.54	9.66824
0.55	9.57693
0.56	9.50926
0.57	9.44159
0.58	9.39714
0.59	9.35268
0.6	9.33093
0.61	9.30918
0.62	9.30954
0.63	9.30989
0.64	9.33168
0.65	9.35348
0.66	9.39596
0.67	9.43845
0.68	9.50082
0.69	9.56318
0.7	9.64456
0.71	9.72594
0.72	9.82538
0.73	9.92483
0.74	10.0413
0.75	10.1579
0.76	10.2904
0.77	10.423
0.78	10.5704
0.79	10.7179
0.8	10.8792
0.81	11.0404
0.82	11.2143
0.83	11.3882
0.84	11.5734
0.85	11.7586
0.86	11.954
0.87	12.1493
0.88	12.3535
0.89	12.5577
0.9	12.7694
0.91	12.9811
0.92	13.199
0.93	13.4169
0.94	13.6396
0.95	13.8623
0.96	14.0884
0.97	14.3146
0.98	14.5428
0.99	14.7711
1	15
